"","diseaseId","targetId","datatypeId","datasourceId","score","evidenceCount"
"856222","MONDO_0015229","ENSG00000115548","animal_model","impc",0.4859799,1
"856223","MONDO_0015229","ENSG00000116014","animal_model","impc",0.4224818,6
"856225","MONDO_0015229","ENSG00000116670","animal_model","impc",0.2538719,1
"856226","MONDO_0015229","ENSG00000116678","animal_model","impc",0.8168109,36
"856227","MONDO_0015229","ENSG00000116745","animal_model","impc",0.4411332,3
"856228","MONDO_0015229","ENSG00000116761","animal_model","impc",0.3260333,1
"856229","MONDO_0015229","ENSG00000117335","animal_model","impc",0.2915636,1
"856230","MONDO_0015229","ENSG00000117360","animal_model","impc",0.3989546,2
"856231","MONDO_0015229","ENSG00000117525","animal_model","impc",0.2997707,1
"856232","MONDO_0015229","ENSG00000118162","animal_model","impc",0.3306536,1
"856233","MONDO_0015229","ENSG00000118217","animal_model","impc",0.3242703,1
"856234","MONDO_0015229","ENSG00000118231","animal_model","impc",0.3973499,4
"856235","MONDO_0015229","ENSG00000118402","animal_model","impc",0.3732543,2
"856236","MONDO_0015229","ENSG00000118420","animal_model","impc",0.2886455,1
"856237","MONDO_0015229","ENSG00000118473","animal_model","impc",0.2729001,1
"856238","MONDO_0015229","ENSG00000118762","animal_model","impc",0.2505891,1
"856239","MONDO_0015229","ENSG00000118985","animal_model","impc",0.2939953,1
"856240","MONDO_0015229","ENSG00000119614","animal_model","impc",0.467237,3
"856241","MONDO_0015229","ENSG00000120149","animal_model","impc",0.2753927,1
"856242","MONDO_0015229","ENSG00000120833","animal_model","impc",0.578865,3
"856243","MONDO_0015229","ENSG00000121351","animal_model","impc",0.2645107,1
"856244","MONDO_0015229","ENSG00000121552","animal_model","impc",0.2559389,1
"856245","MONDO_0015229","ENSG00000121634","animal_model","impc",0.3598342,1
"856246","MONDO_0015229","ENSG00000121957","animal_model","impc",0.2694957,1
"856248","MONDO_0015229","ENSG00000122870","animal_model","impc",0.2769733,1
"856249","MONDO_0015229","ENSG00000123607","animal_model","impc",0.4408714,1
"856250","MONDO_0015229","ENSG00000124089","animal_model","impc",0.5616673,2
"856251","MONDO_0015229","ENSG00000124479","animal_model","impc",0.485068,2
"856252","MONDO_0015229","ENSG00000124587","animal_model","impc",0.2924147,1
"856253","MONDO_0015229","ENSG00000125378","animal_model","impc",0.3367785,2
"856254","MONDO_0015229","ENSG00000125779","animal_model","impc",0.2746023,1
"856256","MONDO_0015229","ENSG00000125965","animal_model","impc",0.3403653,2
"856257","MONDO_0015229","ENSG00000127445","animal_model","impc",0.2730825,1
"856258","MONDO_0015229","ENSG00000128059","animal_model","impc",0.3442712,1
"856259","MONDO_0015229","ENSG00000128573","animal_model","impc",0.4408714,1
"856260","MONDO_0015229","ENSG00000128714","animal_model","impc",0.5531869,31
"856261","MONDO_0015229","ENSG00000129221","animal_model","impc",0.3514448,1
"856262","MONDO_0015229","ENSG00000129535","animal_model","impc",0.3149082,1
"856263","MONDO_0015229","ENSG00000130203","animal_model","impc",0.3367329,1
"856264","MONDO_0015229","ENSG00000130508","animal_model","impc",0.3327813,1
"856265","MONDO_0015229","ENSG00000130558","animal_model","impc",0.2505891,1
"856266","MONDO_0015229","ENSG00000130700","animal_model","impc",0.2693741,1
"856267","MONDO_0015229","ENSG00000130749","animal_model","impc",0.4203234,1
"856268","MONDO_0015229","ENSG00000130948","animal_model","impc",0.2497988,1
"856269","MONDO_0015229","ENSG00000131697","animal_model","impc",0.3861728,2
"856270","MONDO_0015229","ENSG00000132704","animal_model","impc",0.3053028,1
"856271","MONDO_0015229","ENSG00000133256","animal_model","impc",0.5619958,12
"856272","MONDO_0015229","ENSG00000133424","animal_model","impc",0.286761,1
"856273","MONDO_0015229","ENSG00000133818","animal_model","impc",0.4476954,2
"856274","MONDO_0015229","ENSG00000134287","animal_model","impc",0.3026887,1
"856275","MONDO_0015229","ENSG00000134318","animal_model","impc",0.2668816,1
"856276","MONDO_0015229","ENSG00000134376","animal_model","impc",0.613052,5
"856277","MONDO_0015229","ENSG00000134569","animal_model","impc",0.3488003,2
"856278","MONDO_0015229","ENSG00000134571","animal_model","impc",0.3258965,2
"856279","MONDO_0015229","ENSG00000134852","animal_model","impc",0.4408714,1
"856280","MONDO_0015229","ENSG00000135074","animal_model","impc",0.2505891,1
"856281","MONDO_0015229","ENSG00000135097","animal_model","impc",0.3383743,1
"856282","MONDO_0015229","ENSG00000135324","animal_model","impc",0.5048561,2
"856283","MONDO_0015229","ENSG00000135338","animal_model","impc",0.3070658,1
"856284","MONDO_0015229","ENSG00000135390","animal_model","impc",0.2927187,1
"856285","MONDO_0015229","ENSG00000135446","animal_model","impc",0.2645107,1
"856286","MONDO_0015229","ENSG00000135547","animal_model","impc",0.2539327,1
"856287","MONDO_0015229","ENSG00000136153","animal_model","impc",0.3362465,1
"856288","MONDO_0015229","ENSG00000136383","animal_model","impc",0.2494948,1
"856289","MONDO_0015229","ENSG00000136478","animal_model","impc",0.2569116,1
"856290","MONDO_0015229","ENSG00000136574","animal_model","impc",0.3273555,2
"856291","MONDO_0015229","ENSG00000137673","animal_model","impc",0.2997707,1
